id,title,original_title,original_language,release_date,popularity,vote_average,vote_count,adult,video,overview,budget,revenue,runtime,status,homepage,genres,production_companies,production_countries
1233069,Exterritorial,Exterritorial,de,2025-04-29,659.2202,7.0,102,False,False,"When her son vanishes inside a US consulate, ex-special forces soldier Sara does everything in her power to find him — and uncovers a dark conspiracy.",0,0,109,Released,https://www.netflix.com/title/81571720,Thriller; Action,Constantin Television; Epo-Film,Germany; Austria
1197306,A Working Man,A Working Man,en,2025-03-26,497.1834,6.484,552,False,False,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",40000000,89722806,116,Released,https://www.amazon.com/salp/aworkingman?hhf,Action; Crime; Thriller,Cedar Park Entertainment; BlockFilm; Punch Palace Productions; Balboa Productions; Black Bear Pictures; Fifth Season; CAT5,United Kingdom; United States of America
668489,Havoc,Havoc,en,2025-04-24,459.9132,6.619,461,False,False,"When a drug heist swerves lethally out of control, a jaded cop fights his way through a corrupt city's criminal underworld to save a politician's son.",90000000,0,107,Released,https://www.netflix.com/title/81330790,Action; Crime; Thriller,XYZ Films; Severn Screen; One More One Productions,United Kingdom; United States of America
986056,Thunderbolts*,Thunderbolts*,en,2025-04-30,346.8975,7.643,315,False,False,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",180000000,31500000,127,Released,https://www.marvel.com/movies/thunderbolts,Action; Adventure; Science Fiction,Marvel Studios; Kevin Feige Productions,United States of America
1225915,Jewel Thief: The Heist Begins,ज्वेल थीफ: द हीस्ट बिगिन्स,hi,2025-04-25,315.7314,6.9,28,False,False,"In this high-octane battle of wits and wills, ingenious con artist Rehan devises a diamond heist while trying to outsmart Rajan, his sadistic adversary.",0,0,118,Released,,Action; Thriller,Marflix Pictures,India
324544,In the Lost Lands,In the Lost Lands,en,2025-02-27,255.8634,6.325,320,False,False,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.",55000000,4755330,102,Released,https://inthelostlands.com,Action; Fantasy; Adventure,Constantin Film; Spark Productions,Germany; Switzerland
822119,Captain America: Brave New World,Captain America: Brave New World,en,2025-02-12,259.4466,6.161,1710,False,False,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",180000000,414757293,119,Released,https://www.marvel.com/movies/captain-america-brave-new-world,Action; Thriller; Science Fiction,Marvel Studios; Kevin Feige Productions,United States of America
1180906,Desert Dawn,Desert Dawn,en,2025-05-15,208.1377,0.0,0,False,False,A newly appointed small-town sheriff and his begrudging deputy get tangled up in a web of lies and corruption involving shady businessmen and the cartel while investigating the murder of a mysterious woman.,0,0,89,In Production,,Action; Crime; Mystery; Thriller,Premiere Entertainment Group; Al Bravo Films,United States of America
1414048,Day of Reckoning,Day of Reckoning,en,2025-03-28,237.3647,6.846,13,False,False,"Put-upon lawman John Dorsey is on the verge of losing his wife and his job as sheriff, so he posses up with bullish U.S. Marshall Butch Hayden to hold outlaw Emily Rusk hostage. A battle of wills ensues as Emily turns the posse on themselves, but as her marauding husband and his gang approach, Emily and John realize they will need each other to survive.",0,0,106,Released,,Western; Action,ESX Entertainment; Lila Lane Pictures; TackleBox Films,United States of America
1276073,Bullet Train Explosion,新幹線大爆破,ja,2025-04-23,179.5824,6.877,130,False,False,"When panic erupts on a Tokyo-bound bullet train that will explode if it slows below 100 kph, authorities race against time to save everyone on board.",0,0,137,Released,https://www.netflix.com/title/81629968,Action; Thriller; Crime; Drama,Netflix; EPISCOPE,Japan
