id,title,original_title,original_language,release_date,popularity,vote_average,vote_count,adult,video,overview,budget,revenue,runtime,status,homepage,genres,production_companies,production_countries
950387,A Minecraft Movie,A Minecraft Movie,en,2025-03-31,396.3539,6.189,807,False,False,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",150000000,815953914,101,Released,https://www.minecraft-movie.com,Family; Comedy; Adventure; Fantasy,Warner Bros. Pictures; Legendary Pictures; Mojang Studios; Vertigo Entertainment; On the Roam; Domain Entertainment,Sweden; United States of America
986056,Thunderbolts*,Thunderbolts*,en,2025-04-30,346.8975,7.643,315,False,False,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",180000000,31500000,127,Released,https://www.marvel.com/movies/thunderbolts,Action; Adventure; Science Fiction,Marvel Studios; Kevin Feige Productions,United States of America
324544,In the Lost Lands,In the Lost Lands,en,2025-02-27,255.8634,6.325,320,False,False,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.",55000000,4755330,102,Released,https://inthelostlands.com,Action; Fantasy; Adventure,Constantin Film; Spark Productions,Germany; Switzerland
1153714,Death of a Unicorn,Death of a Unicorn,en,2025-03-27,255.1396,6.209,129,False,False,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.",15000000,15983827,107,Released,https://a24films.com/films/death-of-a-unicorn,Horror; Fantasy; Comedy; Adventure,A24; Square Peg; Secret Engine; Ley Line Entertainment,United States of America
299537,Captain Marvel,Captain Marvel,en,2019-03-06,126.5237,6.801,16001,False,False,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",152000000,1131416446,124,Released,https://www.marvel.com/movies/captain-marvel,Action; Adventure; Science Fiction,Marvel Studios,United States of America
297762,Wonder Woman,Wonder Woman,en,2017-05-30,125.1729,7.216,20191,False,False,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,149000000,823970682,141,Released,https://www.warnerbros.com/movies/wonder-woman,Action; Adventure; Fantasy,Atlas Entertainment; Cruel & Unusual Films; DC Films,United States of America
497698,Black Widow,Black Widow,en,2021-07-07,113.5818,7.209,10490,False,False,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",200000000,379751131,134,Released,https://www.marvel.com/movies/black-widow,Action; Adventure; Science Fiction,Marvel Studios,United States of America
762509,Mufasa: The Lion King,Mufasa: The Lion King,en,2024-12-18,117.0211,7.419,2050,False,False,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",200000000,721046090,118,Released,https://movies.disney.com/mufasa-the-lion-king,Adventure; Family; Animation,Walt Disney Pictures,United States of America
1241982,Moana 2,Moana 2,en,2024-11-21,118.6005,7.078,2313,False,False,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",150000000,1059544057,100,Released,https://movies.disney.com/moana-2,Animation; Adventure; Family; Comedy,Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Animation Studios,Canada; United States of America
38575,The Karate Kid,The Karate Kid,en,2010-06-10,80.9417,6.549,6158,False,False,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",40000000,359126022,140,Released,https://www.sonypictures.com/movies/thekaratekid,Action; Adventure; Drama; Family,Jerry Weintraub Productions; Columbia Pictures; Overbrook Entertainment; China Film Group Corporation; Emperor Motion Pictures,China; Hong Kong; United States of America
700391,65,65,en,2023-03-02,71.826,5.98,2540,False,False,"65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",45000000,60730568,92,Released,https://www.65.movie,Action; Adventure; Science Fiction,Raimi Productions; Beck/Woods; Bron Studios; Columbia Pictures; TSG Entertainment,Canada; United States of America
696506,Mickey 17,Mickey 17,en,2025-02-28,61.7409,6.899,1815,False,False,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",118000000,127337252,137,Released,https://www.mickey17movie.com,Science Fiction; Comedy; Adventure,Warner Bros. Pictures; Plan B Entertainment; Offscreen; Kate Street Picture Company; Domain Entertainment,United States of America; United Kingdom
912649,Venom: The Last Dance,Venom: The Last Dance,en,2024-10-22,64.4236,6.769,3254,False,False,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",120000000,478103649,109,Released,https://venom.movie,Action; Science Fiction; Adventure,Columbia Pictures; Pascal Pictures; Matt Tolmach Productions; Hutch Parker Entertainment; Arad Productions,United States of America
1356039,Counterattack,Contraataque,es,2025-02-27,57.1518,8.364,663,False,False,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",0,0,85,Released,https://www.netflix.com/title/81936018,Action; Adventure; Thriller,Draco Films,Mexico
1229730,Carjackers,Carjackers,fr,2025-03-27,56.7076,6.135,170,False,False,"By day, they're invisible—valets, hostesses, and bartenders at a luxury hotel. By night, they're the Carjackers, a crew of skilled drivers who track and rob wealthy clients on the road. As they plan their ultimate heist, the hotel director hires a ruthless hitman, to stop them at all costs. With danger closing in, can Nora, Zoe, Steve, and Prestance pull off their biggest score yet?",0,0,97,Released,https://www.amazon.com/gp/video/detail/B0DCYJL1GN,Action; Adventure,Gaumont,France
