id,title,original_title,original_language,release_date,popularity,vote_average,vote_count,adult,video,overview,budget,revenue,runtime,status,homepage,genres,production_companies,production_countries
762509,Mufasa: The Lion King,Mufasa: The Lion King,en,2024-12-18,117.0211,7.419,2050,False,False,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",200000000,721046090,118,Released,https://movies.disney.com/mufasa-the-lion-king,Adventure; Family; Animation,Walt Disney Pictures,United States of America
1241982,Moana 2,Moana 2,en,2024-11-21,118.6005,7.078,2313,False,False,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",150000000,1059544057,100,Released,https://movies.disney.com/moana-2,Animation; Adventure; Family; Comedy,Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Animation Studios,Canada; United States of America
1189423,The Sloth Lane,The Sloth Lane,en,2024-07-25,82.9738,6.3,14,False,False,"After a terrifying storm destroys their home, a speedy sloth named Laura and her kooky family move to the big city in their rusted old food truck, Gordito, hoping to make their business a success. The family's delicious food catches the eye of a quick-witted cheetah who will stop at nothing to revive her failing fast-food business.",0,349698,90,Released,https://www.sola-media.com/films/details/the-sloth-lane.html,Animation; Family,Like A Photon Creative; Universal Pictures (Australasia); Cosmic Dino Studio; Eclectik Vision; Alceon Entertainment Partners,Australia
519182,Despicable Me 4,Despicable Me 4,en,2024-06-20,56.8347,7.048,2734,False,False,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",100000000,969280910,94,Released,https://www.despicable.me,Animation; Family; Comedy; Science Fiction,Universal Pictures; Illumination,United States of America
1064486,Memoir of a Snail,Memoir of a Snail,en,2024-10-17,56.274,8.009,460,False,False,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",4350000,6780428,94,Released,http://adamelliot.com.au/,Animation; Drama; Comedy,Arenamedia; Screen Australia,Australia
823219,Flow,Straume,lv,2024-08-29,52.7955,8.195,1896,False,False,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",3700000,17660107,85,Released,https://flowthemovie.com/,Animation; Fantasy; Adventure,Dream Well Studio; Sacrebleu Productions; Take Five; ARTE France Cinéma; RTBF,Latvia; Belgium; France
1184918,The Wild Robot,The Wild Robot,en,2024-09-12,52.5765,8.32,4843,False,False,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",78000000,331982078,102,Released,https://www.thewildrobotmovie.com,Animation; Science Fiction; Family,DreamWorks Animation,United States of America
1297763,Batman Ninja vs. Yakuza League,ニンジャバットマン対ヤクザリーグ,ja,2025-03-17,47.0256,6.6,151,False,False,"The Batman family has returned to the present to discover that Japan has disappeared, and a giant island - Hinomoto - is now in the sky over Gotham City.  At the top sit the Yakuza, a group of superpowered individuals who reign without honor or humanity and look suspiciously like the Justice League. Now, it’s up to Batman and his allies to save Gotham!",0,0,90,Released,https://www.warnerbros.com/movies/batman-ninja-vs-yakuza-league,Animation; Action,Kamikaze Douga; Warner Bros. Japan; DC; Warner Bros. Animation,Japan; United States of America
950784,Flame of Recca: Final Burning,烈火の炎 FINAL BURNING,ja,2004-06-10,54.508,9.0,1,False,False,A retold ending based on the final few chapters of the Flame of Recca manga series.,0,0,32,Released,,Animation; Action,Pierrot,Japan
1022789,Inside Out 2,Inside Out 2,en,2024-06-11,49.0516,7.557,5797,False,False,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",200000000,1698863816,97,Released,https://movies.disney.com/inside-out-2,Animation; Adventure; Comedy; Family,Walt Disney Pictures; Pixar,United States of America
1104845,Plankton: The Movie,Plankton: The Movie,en,2025-03-08,43.1105,6.8,95,False,False,Plankton's tangled love story with his sentient computer wife goes sideways when she takes a stand — and decides to destroy the world without him.,0,0,83,Released,https://www.netflix.com/title/81221337,Animation; Adventure; Comedy; Family; Fantasy,Nickelodeon Movies,United States of America
774370,Dog Man,Dog Man,en,2025-01-24,38.7651,7.788,233,False,False,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",40000000,134251500,89,Released,https://www.dreamworksdogman.com,Family; Comedy; Adventure; Animation,DreamWorks Animation,United States of America
420818,The Lion King,The Lion King,en,2019-07-12,27.7733,7.111,10338,False,False,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",260000000,1662020819,118,Released,https://movies.disney.com/the-lion-king-2019,Adventure; Drama; Family; Animation,Walt Disney Pictures; Fairview Entertainment,United States of America
372058,Your Name.,君の名は。,ja,2016-08-26,30.3734,8.484,11741,False,False,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",0,358000000,106,Released,https://www.funimationfilms.com/movie/yourname/,Animation; Romance; Drama,CoMix Wave Films; TOHO; KADOKAWA; jeki; AMUSE; voque ting; Lawson Entertainment,Japan
808,Shrek,Shrek,en,2001-05-18,35.0676,7.75,17639,False,False,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",60000000,488628188,90,Released,http://www.dreamworksanimation.com/shrek/,Animation; Comedy; Fantasy; Adventure; Family,Pacific Data Images; DreamWorks Animation; DreamWorks Pictures,United States of America
1147416,"Miraculous World: London, At the Edge of Time","Miraculous World : Londres, la course contre le temps",fr,2024-11-14,36.6387,7.329,255,False,False,"To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!",0,0,50,Released,,Animation; Adventure; Action; Fantasy,Zagtoon; Method Animation,France
980477,Ne Zha 2,哪吒之魔童闹海,zh,2025-01-29,33.2091,7.88,163,False,False,"Following the Tribulation, although the souls of Ne Zha and Ao Bing were preserved, their physical bodies will soon be destroyed. Tai Yi Zhen Ren plans to use the Seven Colored Lotus to reshape their physical forms, but encounters numerous difficulties. What will become of Ne Zha and Ao Bing?",80000000,2150000000,144,Released,,Animation; Fantasy; Adventure,Chengdu Coco Cartoon; Beijing Enlight Pictures; Chengdu Enlight Animation; Coloroom Pictures,China
