id,title,original_title,original_language,release_date,popularity,vote_average,vote_count,adult,video,overview,budget,revenue,runtime,status,homepage,genres,production_companies,production_countries
950387,A Minecraft Movie,A Minecraft Movie,en,2025-03-31,396.3539,6.189,807,False,False,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",150000000,815953914,101,Released,https://www.minecraft-movie.com,Family; Comedy; Adventure; Fantasy,Warner Bros. Pictures; Legendary Pictures; Mojang Studios; Vertigo Entertainment; On the Roam; Domain Entertainment,Sweden; United States of America
1153714,Death of a Unicorn,Death of a Unicorn,en,2025-03-27,255.1396,6.209,129,False,False,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.",15000000,15983827,107,Released,https://a24films.com/films/death-of-a-unicorn,Horror; Fantasy; Comedy; Adventure,A24; Square Peg; Secret Engine; Ley Line Entertainment,United States of America
1124620,The Monkey,The Monkey,en,2025-02-14,200.0968,5.895,559,False,False,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy.",10000000,68753418,97,Released,http://www.neonrated.com/film/the-monkey,Horror; Comedy,Atomic Monster; C2 Motion Picture Group; Range Media Partners; Oddfellows Entertainment; The Safran Company; Stars Collective,Canada; United States of America
974573,Another Simple Favor,Another Simple Favor,en,2025-03-07,184.9015,6.69,92,False,False,"Stephanie and Emily reunite on the beautiful island of Capri, Italy for Emily's extravagant wedding to a rich Italian businessman. Along with the glamorous guests, expect murder and betrayal to RSVP for a wedding with more twists and turns than the road from the Marina Grande to the Capri town square.",0,0,123,Released,https://www.amazon.com/gp/video/detail/B0DWLTDFZ2,Thriller; Comedy; Crime,Feigco Entertainment; Lionsgate,United States of America
1195506,Novocaine,Novocaine,en,2025-03-12,117.0452,6.922,674,False,False,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",18000000,33561854,110,Released,https://www.novocainemovie.com,Action; Comedy; Thriller,Safehouse Pictures; Paramount Pictures; Infrared Pictures; Domain Entertainment; Circle Management + Production,United States of America
1403735,Laila,లైలా,te,2025-02-14,123.4624,5.0,3,False,False,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",0,0,134,Released,,Comedy; Romance,Shine Screens,India
1241982,Moana 2,Moana 2,en,2024-11-21,118.6005,7.078,2313,False,False,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",150000000,1059544057,100,Released,https://movies.disney.com/moana-2,Animation; Adventure; Family; Comedy,Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Animation Studios,Canada; United States of America
939243,Sonic the Hedgehog 3,Sonic the Hedgehog 3,en,2024-12-19,108.5839,7.726,2504,False,False,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",122000000,486018457,110,Released,https://www.sonicthehedgehogmovie.com,Action; Science Fiction; Comedy; Family,Paramount Pictures; Original Film; Marza Animation Planet; SEGA; Blur Studio; SEGA of America,United States of America; Japan
1059073,Winter Spring Summer or Fall,Winter Spring Summer or Fall,en,2024-12-27,85.0679,7.134,71,False,False,"Remi and Barnes, two very different teenagers, meet by chance in the winter of their senior year, then spend four  days together over the course of a year that will change their lives forever.",0,0,97,Released,,Romance; Comedy; Drama,Motion Picture Corporation of America; Brad Krevoy Television; Wall Fly,United States of America
2108,The Breakfast Club,The Breakfast Club,en,1985-02-15,62.8124,7.735,8136,False,False,"Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group includes rebel John, princess Claire, outcast Allison, brainy Brian and Andrew, the jock. Each has a chance to tell his or her story, making the others see them a little differently -- and when the day ends, they question whether school will ever be the same.",1000000,51525171,98,Released,,Comedy; Drama,Universal Pictures; A&M Films; Channel Productions,United States of America
