title,vote_average,vote_count,popularity,rating_distribution
A Working Man,6.315,422,869.2977,
In the Lost Lands,6.294,282,436.9118,
Bullet Train Explosion,6.2,38,329.2068,
Captain America: Brave New World,6.144,1609,290.182,
The Siege,5.286,35,289.0029,
G20,6.633,369,258.4645,
Novocaine,6.895,592,244.352,
Sinners,7.495,324,263.118,
Gunslingers,6.744,39,210.8007,
Sonic the Hedgehog 3,7.732,2458,141.8192,
Home Sweet Home: Rebirth,6.734,47,120.0409,
The Codes of War,6.2,59,120.22,
Cleaner,6.575,228,118.701,
A Knight's War,5.4,15,111.8752,
The Hard Hit,6.778,18,97.8654,
Carjackers,6.1,156,103.7639,
Flight Risk,6.113,652,94.9921,
Deva,6.1,44,90.6931,
Batman Ninja vs. Yakuza League,6.6,147,85.9898,
Avengers: Infinity War,8.235,30442,110.6769,
