title,vote_average,vote_count,popularity,rating_distribution
The Day the Earth Blew Up: A Looney Tunes Movie,7.566,61,28.04,
Avatar,7.6,32169,27.7054,
Mad Max: Fury Road,7.621,23034,26.8612,
Inside Out,7.91,22448,26.6606,
Harry Potter and the Order of the Phoenix,7.674,19848,26.6236,
Migration,7.397,1989,26.5763,
Survive,5.8,209,26.3512,
Howl's Moving Castle,8.397,10252,26.3126,
Kingdom of the Planet of the Apes,7.081,3687,26.2118,
Dune,7.782,13454,26.18,
Black Adam,6.9,6521,25.6971,
Tangled,7.607,11717,25.5506,
Shrek 2,7.291,12631,25.202,
The Travelling Dog,6.5,10,25.0186,
Avengers: Age of Ultron,7.271,23376,24.9273,
Zack Snyder's Justice League,8.121,10199,24.7235,
Coco,8.204,19919,24.4646,
My Hero Academia: You're Next,6.8,115,24.33,
Harry Potter and the Half-Blood Prince,7.684,19828,24.3173,
Pirates of the Caribbean: The Curse of the Black Pearl,7.8,21077,24.0646,
