title,vote_average,vote_count,popularity,rating_distribution
Mufasa: The Lion King,7.416,2011,142.9646,
Moana 2,7.083,2270,147.0271,
Batman Ninja vs. Yakuza League,6.6,147,85.9898,
Bloody Escape: Bats out of Hell,5.333,3,65.7392,
Memoir of a Snail,7.973,438,66.472,
Despicable Me 4,7.05,2719,67.0019,
Flow,8.2,1856,59.7479,
Plankton: The Movie,6.753,91,57.5663,
The Wild Robot,8.324,4788,56.2456,
The Lion King,7.11,10326,79.3952,
Inside Out 2,7.556,5774,50.7776,
Dog Man,7.8,221,46.9185,
Solo Leveling -ReAwakening-,7.033,184,39.2674,
"Robotia, la película",7.273,11,36.0696,
"Miraculous World: London, At the Edge of Time",7.319,251,37.6692,
The King of Kings,7.5,12,36.1324,
Shrek,7.75,17621,36.4478,
Ne Zha 2,7.853,156,34.5455,
Attack on Titan: THE LAST ATTACK,8.6,45,34.3489,
Dalia and the Red Book,7.324,17,32.4071,
