title,vote_average,vote_count,popularity,rating_distribution
The Hangover,7.322,17197,22.7537,
IF,7.074,1335,22.4817,
Puss in Boots: The Last Wish,8.217,8136,22.4549,
Toy Story 2,7.597,14105,22.4427,
Babylon,7.374,3323,22.3741,
Once Upon a Time... in Hollywood,7.428,13837,22.3229,
Big Hero 6,7.728,15861,22.2338,
Bridget Jones: Mad About the Boy,6.718,293,21.5017,
Ratatouille,7.826,17448,21.4357,
The Fall Guy,7.024,2931,21.4034,
The Idea of You,7.39,1661,21.3901,
Our Man Flint,6.41,117,21.2977,
Luca,7.806,8505,21.1171,
The Truman Show,8.1,18820,20.6163,
Teenage Mutant Ninja Turtles,5.912,6872,20.521,
10 Things I Hate About You,7.594,8333,20.4336,
Grown Ups,6.391,6267,20.3623,
Turning Red,7.348,5378,20.2804,
Soul,8.11,10731,20.1205,
Minions: The Rise of Gru,7.3,3718,20.0845,
