title,vote_average,vote_count,popularity,rating_distribution
A Working Man,6.318,422,869.2977,
Bullet Train Explosion,6.205,39,329.2068,
The Hard Hit,6.778,18,97.8654,
iHostage,6.172,96,101.7572,
Deva,6.1,44,90.6931,
Pulp Fiction,8.489,28596,74.9975,
The Accountant 2,7.6,25,80.4682,
Demon City,6.889,217,59.7237,
GoodFellas,8.455,13310,62.1976,
"I, the Executioner",6.959,61,48.1403,
Hellhound,6.641,46,47.6288,
xXx,5.938,4401,47.5123,
Alarum,5.769,255,41.4605,
The Kingdom,7.2,42,44.5627,
The Accountant,7.097,6420,41.6163,
True Romance,7.545,2807,50.6461,
Bad Boys: Ride or Die,7.385,2857,36.7483,
Absolution,5.881,392,34.2086,
The Alto Knights,6.08,138,36.0128,
The Green Mile,8.504,18029,38.2013,
