genre,movie_title,review_text
Adventure,A Minecraft Movie,"Alright, buckle up, because I just saw a movie that completely blew my mind! Seriously, I'm still buzzing. From the very first scene, I was absolutely hooked, and it didn't let go until the credits ro"
Adventure,A Minecraft Movie,Who doesn’t like a white woolly llama? Well that’s probably the highlight of this derivative CGI-fest that finds a quartet of geeks and gamers dragged through a magical portal to a world ruled by the 
Adventure,A Minecraft Movie,Who doesn’t like a white woolly llama? Well that’s probably the highlight of this derivative CGI-fest that finds a quartet of geeks and gamers dragged through a magical portal to a world ruled by the 
Adventure,In the Lost Lands,"With mankind reduced to living amidst a god-fearing zealousness in a city under a mountain where they are ruled by a decrepit overlord and his much younger queen (Amara Okereke), it would appear that "
Adventure,In the Lost Lands,"<em>'In the Lost Lands'</em> is oddly one that didn't do it for me. I say oddly because I really enjoyed all of the cast here, it's just the story that totally failed to claw me in; I honestly would s"
Adventure,In the Lost Lands,"""in the Lost Lands"" is a basic watch, accompanied by a dose of the by now predictable, DEI indoctrination.   This feels like a paired down ""Resident Evil"" sci fi, with a medieval fantasy overlay and"
Adventure,Mufasa: The Lion King,"Rubbish poster aside, <em>'Mufasa: The Lion King'</em> is a success.  I can't overlook that poster, how amateur can you get - it genuinely looks like something I'd whip up seconds before the deadlin"
Adventure,Mufasa: The Lion King,"They've been praying for rain for ages but are ill-prepared for when it finally comes and washes away the young ""Mufasa"" from the loving paws of his parents and out into the wilderness. Luckily, he is"
Adventure,Mufasa: The Lion King,"Great movie. Story's amazing and CGI never been so good before. I mean great visuals. To be honest, I didn't see any flows in this movie. It's perfect."
Adventure,Moana 2,"When ""Moana"" learns that the whole of Pacific Island society is under a curse from the powerful god ""Nalo"", she has to recruit a few faithful crew members and go seek out ""Maui"" before she can find th"
Adventure,Moana 2,Very good movie!
