genre,movie_title,review_text
Animation,Mufasa: The Lion King,"Rubbish poster aside, <em>'Mufasa: The Lion King'</em> is a success.  I can't overlook that poster, how amateur can you get - it genuinely looks like something I'd whip up seconds before the deadlin"
Animation,Mufasa: The Lion King,"They've been praying for rain for ages but are ill-prepared for when it finally comes and washes away the young ""Mufasa"" from the loving paws of his parents and out into the wilderness. Luckily, he is"
Animation,Mufasa: The Lion King,"Great movie. Story's amazing and CGI never been so good before. I mean great visuals. To be honest, I didn't see any flows in this movie. It's perfect."
Animation,Moana 2,"When ""Moana"" learns that the whole of Pacific Island society is under a curse from the powerful god ""Nalo"", she has to recruit a few faithful crew members and go seek out ""Maui"" before she can find th"
Animation,Moana 2,Very good movie!
Animation,Memoir of a Snail,"It feels great to laugh straight after you’ve just welled up.   The characters in Memoir of a Snail, the new animated tale from Academy Award winner Adam Elliot, feel authentically real to us - and "
Animation,Memoir of a Snail,Australian animator and filmmaker Adam Elliot’s last full-length feature film was Mary and Max (2009). Memoir of a Snail is narrated and told from the point of view of Grace Pudel (Sarah Snook). Grace
Animation,Memoir of a Snail,"When an elderly lady gives out her last breath, and yells something about potatoes, we realise that “Grace” is now on her own. She’s a middle aged woman wearing a knitted hat with two big eyes poking "
Animation,Memoir of a Snail,"It’s been a long time since I’ve been moved by a piece of cinema as much as I was with “Memoir of a Snail,” a dark, profound, and highly personal stop-motion film from writer / director Adam Elliot . "
Animation,Despicable Me 4,"""Despicable Me 4"" is a delightful addition to the beloved animated franchise, bringing back the charm and humor that fans adore. Directed by Kyle Balda, the film sees the return of Gru, voiced by Stev"
Animation,Despicable Me 4,"It's trash. Don't see it.   **Full review:** https://bit.ly/Grupid"
Animation,Despicable Me 4,"There are so many movies within the Despicable Me franchise that I've lost count of all the storylines in each. While I've never been a big fan of these movies, they at least always felt exciting. How"
Animation,Despicable Me 4,"If it's not sacrilegious to say, I think this franchise is starting to run out of steam - the plot here isn't very original. The family ""Gru"" have a new child who doesn't much take to his father which"
Animation,Despicable Me 4,"The goofy Minions are on the loose again in “Despicable Me 4,” a lazy sequel that does little more to advance the franchise other than embodying the old adage of “style over substance” to a fault. The"
