genre,movie_title,review_text
Crime,A Working Man,"FULL SPOILER-FREE REVIEW @ https://fandomwire.com/a-working-man-review/  ""A Working Man is a textbook example of a movie that fails in every fundamental aspect of its own genre.  Without impactful"
Crime,A Working Man,"FULL SPOILER-FREE REVIEW @ https://fandomwire.com/a-working-man-review/  ""A Working Man is a textbook example of a movie that fails in every fundamental aspect of its own genre.  Without impactful"
Crime,A Working Man,"<em>'A Working Man'</em> is imperfectly very good. I do have a couple of issues with it, but all in all I have to say that I did enjoy this to a fairly strong degree. Jason Statham seldom disappoints "
Crime,A Working Man,"""A working Man"" is an accidental satire, of the US action film genre.  Working class guy, who served in the military and now works for a migrant families construction company, looks to save their an"
Crime,A Working Man,"On paper, director David Ayer‘s revenge action thriller “A Working Man” should be a slam dunk for Jason Statham. Based on Chuck Dixon’s novel “Levon’s Trade,” it has all the familiar elements that not"
Crime,Pulp Fiction,"***The cream of the crop of quirky crime thrillers***  RELEASED IN 1994 and written & directed by Quentin Tarantino, ""Pulp Fiction"" is a drama/thriller/black comedy about two hit men in Los Angeles "
Crime,Pulp Fiction,"Insane movie!  One of the bests(if not the best) Tarantino's movies!"
Crime,Pulp Fiction,"Ving Rhames (""Wallace"") is the kingpin who provides the loosest of templates for a couple of inter-twining tales that are amusing, bizarre and sometimes down right dangerous before we get a sort of al"
Crime,Pulp Fiction,"Tarantino is the most overrated director of our times, all his films are silly but people say they are masterpieces, perhaps they are but not for the right way, the only good thing about Tarantino is "
Crime,Pulp Fiction,really fun to watch and the attention to detail is great
Crime,GoodFellas,"In a world that's powered by violence, on the streets where the violent have power, a new generation carries on an old tradition.  Martin Scorsese’s Goodfellas is without question one of the finest "
Crime,GoodFellas,"Martin Scorsese (director) always loves details in crime films, but he is not primarily interested in the crime itself. That is why his films are always produced with details that you may see as unimp"
Crime,GoodFellas,"Ray Liotta is superb here as ""Henry Hill"", a man whom ever since he was young has been captivated by the mob. He starts off as a runner and before too long has ingratiated himself with the local frate"
Crime,GoodFellas,A really good film. i loved it!
Crime,GoodFellas,"The Goodfellas is an absolute masterpiece in every sense. Martin Scorsese delivers a raw, unflinching look into the world of organized crime that’s as captivating as it is brutal. Ray Liotta, Robert D"
Crime,"I, the Executioner","South Korea has a penchant for producing quality crime action thrillers and ""I, the Executioner"", is no exception.   The premise of this film is a story of a serial killer who is a little too close "
Crime,Hellhound,"To be fair Hellhound actually makes an effort to be a little original and thoughtful and ""sort of"" succeeds.  There's a fair amount of decent content, in this admittedly B grade action film. Firstly"
Crime,xXx,"Vin Diesel is actually quite good in this as an adventurer who manages, frequently, to wind up US law enforcement by causing mischief and mayhem against those he thinks deserving of exposure. When NSA"
Crime,The Accountant,"**Surprisingly decent**  IMHO Ben Affleck has the ability to stink up the screen and has done so on a number of occasions, thankfully this was not one of them.  The premise was good, the characters "
Crime,The Accountant,"**He's not the same man inside out!**  The film was powerful, one of the best of the year I have seen. From the director of 'Warrior'. The story of a freelance accountant who was hired by a company "
Crime,The Accountant,"**Overall : A fresh action standout with unique characters and excellent fight sequences. The Accountant's numbers just add up!**  The Accountant was an unexpected action thriller with unique charac"
Crime,The Accountant,"**Without being brilliant, this is an honest film, which gives us what it promises and which harmoniously combines dramatic tension, touches of romance and quality action.**  Overall, I was quite sa"
Crime,True Romance,"The King, Chiba, White Boy Day and Love…Bloody Love.  True Romance is directed by Tony Scott and written by Quentin Tarantino. It stars Christian Slater, Patricia Arquette, Dennis Hopper, Brad Pitt,"
Crime,True Romance,"Can't believe I haven't seen this movie until now. My neighbor could not believe I never saw this movie, and suggested I watch it A.S.A.P.! I did and loved it! This is a _**must see**_ Star-Studded mo"
Crime,True Romance,"For the amount of Grade A and High B actors in the movie, along with the top o' the line writing cast, producers and director, you would think this would be nothing less than a 5-Star film. Unfortunat"
Crime,True Romance,"***A stepping stone to “Pulp Fiction”***  A lonesome comic store geek in Detroit (Christian Slater) meets the woman of his dreams (Patricia Arquette) and suddenly has the gonads to be a bad dude. Bu"
Crime,True Romance,"This is a sort of pre-Tarantino Tarantino movie. The story I read is that he rewrote a script for a co-worker, and he didn’t end up directing it, so it is both his and not completely his work. But it "
Crime,Bad Boys: Ride or Die,"I'd completely forgotten about ""Bad Boys for Life"" (2020) but luckily there are were few flashbacks to remind me that ""Mike"" (Will Smith) had been the target of a son he didn't know about - ""Armando"" "
Crime,Bad Boys: Ride or Die,"For a fourth outing, <em>'Bad Boys: Ride or Die'</em> still finds a way to produce the goods.  I enjoyed what I watched. The previous installment remains the clear standout of the series comparative"
Crime,Bad Boys: Ride or Die,"I didn’t know what to expect going into the fourth installment of one of my favorite buddy cop franchises. Having seen the first movie in theaters at age 13, I grew up with this series and had my doub"
Crime,Bad Boys: Ride or Die,"We liked Bad Boys because it was Lethal Weapon in Miami, and we like Lethal Weapon because it was just like the other 356 buddy cop movies we saw before it.  It's a timeless LCD flick that you're goin"
Crime,Bad Boys: Ride or Die,"Not awful but hardly remarkable either, Bad Boys, Ride or Die is a passable shake and bake, crime action flick.   The downsides, in short order, include a rapper gangsta vibe, that's overcooked to t"
Crime,The Alto Knights,"After mob boss Vito (Robert De Niro with loads of facial prosthetics) gets into a scrape with the authorities, he has to flee the USA and leave his childhood friend and business partner Frank (Robert "
Crime,The Alto Knights,"<em>'The Alto Knights'</em> delivered for me. A (biographical) crime drama featuring Robert De Niro, what's not to love? It's a bio about Vito Genovese and Frank Costello, two people I'm not all that "
Crime,The Alto Knights,"You guys remember how bad Gotti was? Well this is what happens when someone tries to out-do De Niro in anything.  He took a breath, told Travolta to hold his beer, and sat down and showed him how bad "
Crime,The Green Mile,"**_A Masterpiece of Cinematic Art -- Captivating and Reverent_**  The head Death Row guard at a Tennessee prison during the Depression (Tom Hanks) observes a new inmate, a black man named John Coffe"
Crime,The Green Mile,"""Edgecomb"" (Tom Hanks) is in charge of the prison officers who tend to the inmates on death row. He's a decent man who, with the help of his partner ""Howell"" (David Morse) tries to carry out his task "
Crime,The Green Mile,"Great acting by everyone involved, but the story is just not my cup of tea. If you like fake miracles (no shortage of people that do) and fantasy storylines, like prison guards that are humane and emp"
